,NAME,Latitude,Longitude
0,W 4th St - Washington Sq (Lower),40.73225483,-74.00030815
1,Buhre Ave,40.84681033,-73.832569
2,51st St,40.75710733,-73.97192
3,86th St,40.78864433,-73.976218
4,Brooklyn Bridge - City Hall,40.71306533,-74.004131
5,33rd St,40.74608133,-73.982076
6,Lexington Ave - 59th St,40.76252633,-73.967967
7,233rd St,40.89314358,-73.85736239
8,66th St - Lincoln Ctr,40.77344033,-73.982209
9,Hunts Point Ave,40.82094833,-73.890549
10,Canal St,40.72285433,-74.006277
11,Middletown Rd,40.84386333,-73.836322
12,23rd St,40.73986433,-73.986599
13,45th Rd - Court House Sq,40.74702333,-73.945264
14,Astor Pl,40.73005433,-73.99107
15,59th St - Columbus Circle,40.76824733,-73.981929
16,Hunters Point Ave,40.74221633,-73.948916
17,96th St,40.78567233,-73.95107
18,Mets - Willets Point,40.75462233,-73.845625
19,23rd St,40.74408133,-73.995657
20,Houston St,40.72825133,-74.005367
21,3rd Ave - 138th St,40.81047633,-73.926138
22,Zerega Ave,40.83648833,-73.847036
23,104th St,40.68171133,-73.837683
24,Bleecker St (Downtown),40.72593124,-73.99467468
25,Castle Hill Ave,40.83425533,-73.851222
26,Broad Channel,40.60840251,-73.81583269
27,Ocean Pkwy,40.576312,-73.968501
28,50th St,40.76172833,-73.983849
29,Vernon Blvd - Jackson Ave,40.74262633,-73.953581
30,68th St - Hunter College,40.76814133,-73.96387
31,Queensboro Plz,40.75063598,-73.94016353
32,Rockaway Blvd,40.68042933,-73.843853
33,Union Sq - 14th St,40.73467333,-73.989951
34,Junction Blvd,40.74914533,-73.869527
35,Classon Ave,40.68888933,-73.95999
36,Bedford - Nostrand Aves,40.68962733,-73.953522
37,15th St - Prospect Park,40.66003602,-73.97973581
38,7th Ave,40.66624502,-73.98025118
39,Ft Hamilton Pkwy,40.650782,-73.975776
40,Church Ave,40.64427233,-73.97972116
41,Beverly Rd,40.64390493,-73.9643578
42,Church Ave,40.65049358,-73.96288246
43,Newkirk Ave,40.63514227,-73.96269487
